MaternalVial,vial_letter,PaternalStock,Treatment,fecundity.sum,num_offspring.sum,num_moms.sum,fecundity
1,A,217,2x,114.544444444444,1004,35,28.6857142857143
1,B,217,2x,96.5333333333333,860,35,24.5714285714286
1,C,217,2x,28.7555555555556,279,29,9.62068965517241
1,D,217,2x,64.5555555555556,563,35,16.0857142857143
2,A,42,2x,28.9,252,23,10.9565217391304
2,B,42,2x,47.0666666666667,411,23,17.8695652173913
2,C,42,2x,28.9047619047619,242,23,10.5217391304348
2,D,42,2x,34.5,282,23,12.2608695652174
3,A,42,1x,30.25,242,8,30.25
3,B,42,1x,16.875,135,8,16.875
3,C,42,1x,20.125,161,8,20.125
3,D,42,1x,18.75,150,8,18.75
4,A,217,1x,90.2392857142857,699,31,22.5483870967742
4,B,217,1x,128.882142857143,981,31,31.6451612903226
4,C,217,1x,105.094047619048,855,31,27.5806451612903
4,D,217,1x,67.4619047619048,502,31,16.1935483870968
5,A,217,0.5x,85.5333333333333,488,27,18.0740740740741
5,B,217,0.5x,105.266666666667,671,27,24.8518518518519
5,C,217,0.5x,62.7333333333333,409,27,15.1481481481481
5,D,217,0.5x,88.9666666666667,519,27,19.2222222222222
6,A,42,0.5x,24.6666666666667,148,12,12.3333333333333
6,B,42,0.5x,63.5,381,12,31.75
6,C,42,0.5x,24.3333333333333,146,12,12.1666666666667
6,D,42,0.5x,17.8333333333333,107,12,8.91666666666667
7,A,42,0.5x,36.1785714285714,270,15,18
7,B,42,0.5x,29.5892857142857,222,15,14.8
7,C,42,0.5x,33.8035714285714,252,15,16.8
7,D,42,0.5x,35.1964285714286,260,15,17.3333333333333
8,A,217,0.5x,56.7619047619048,366,13,28.1538461538462
8,B,217,0.5x,81.0714285714286,526,13,40.4615384615385
8,C,217,0.5x,29.7142857142857,200,13,15.3846153846154
8,D,217,0.5x,57.2142857142857,381,13,29.3076923076923
9,A,217,1x,43.5714285714286,305,7,43.5714285714286
9,B,217,1x,26,182,7,26
9,C,217,1x,39.7142857142857,278,7,39.7142857142857
9,D,217,1x,24,168,7,24
10,A,42,1x,0,0,6,0
10,B,42,1x,0,0,6,0
10,C,42,1x,0,0,6,0
10,D,42,1x,0,0,6,0
11,A,42,0.5x,35.5,213,12,17.75
11,B,42,0.5x,13.8333333333333,83,12,6.91666666666667
11,C,42,0.5x,13.1666666666667,79,12,6.58333333333333
