"","contrast","PaternalStock","vial_letter","estimate","SE","df","z.ratio","p.value"
"1","0.5x - 1x","42","A",0.294783318346106,0.164514671814063,Inf,1.79183604170742,0.172283011603826
"2","0.5x - 2x","42","A",0.502180385773752,0.183936154125573,Inf,2.73018857092616,0.0174041278936449
"3","1x - 2x","42","A",0.207397067427645,0.20051999060502,Inf,1.03429621556372,0.555171176481287
"4","0.5x - 1x","217","A",-0.046905107345229,0.140372368110827,Inf,-0.334147724203073,0.940311610773578
"5","0.5x - 2x","217","A",0.247698233484311,0.158301270591897,Inf,1.56472675524431,0.261038259538207
"6","1x - 2x","217","A",0.29460334082954,0.165156854328923,Inf,1.78377907490787,0.175005974337326
"7","0.5x - 1x","42","B",0.346285883890028,0.169848752768271,Inf,2.03878967755786,0.103041466697966
"8","0.5x - 2x","42","B",0.269640835550943,0.189506196328234,Inf,1.42286025879551,0.329055576151875
"9","1x - 2x","42","B",-0.0766450483390847,0.207221533840525,Inf,-0.369870094669166,0.927370453674878
"10","0.5x - 1x","217","B",0.153844490080924,0.139028352484555,Inf,1.1065691805419,0.509982224833232
"11","0.5x - 2x","217","B",0.145369878776687,0.154705782265995,Inf,0.939653816731581,0.61514509530732
"12","1x - 2x","217","B",-0.00847461130423679,0.163540389403269,Inf,-0.0518196840252075,0.998520631482548
"13","0.5x - 1x","42","C",0.0583524532573883,0.170993050537264,Inf,0.341256285410684,0.937827079096256
"14","0.5x - 2x","42","C",0.31508791538051,0.18738831638778,Inf,1.68147044305831,0.212287272273815
"15","1x - 2x","42","C",0.256735462123122,0.203587458326518,Inf,1.26105735703701,0.417332684414674
"16","0.5x - 1x","217","C",0.194493681673247,0.141046792765462,Inf,1.37893019656717,0.35196921339963
"17","0.5x - 2x","217","C",0.108315994549465,0.158146092385626,Inf,0.684910976398615,0.772305440214557
"18","1x - 2x","217","C",-0.0861776871237827,0.165063589749202,Inf,-0.522087804189412,0.860542244642215
"19","0.5x - 1x","42","D",0.0307798233945614,0.177145828044513,Inf,0.173754153480979,0.983493906743897
"20","0.5x - 2x","42","D",0.311151945612559,0.202826496590009,Inf,1.53407937741743,0.274930896151664
"21","1x - 2x","42","D",0.280372122217998,0.211454809683239,Inf,1.32591981538749,0.380697800145466
"22","0.5x - 1x","217","D",0.102226470799144,0.135984557781379,Inf,0.751750584529552,0.73256557746838
"23","0.5x - 2x","217","D",0.0346314759394072,0.152290042622574,Inf,0.227404729442724,0.971894802526891
"24","1x - 2x","217","D",-0.0675949948597373,0.163013013309211,Inf,-0.414660115088601,0.909588684214361
