"","contrast","PaternalStock","vial_letter","estimate","SE","df","z.ratio","p.value","full_sig"
"1","0.5x - 1x","42","A",0.219151268497733,0.166036544755795,Inf,1.31989779009228,0.384032613244232,""
"2","0.5x - 2x","42","A",0.563297572609621,0.186092370697671,Inf,3.02697832532192,0.00697545050346504,"**"
"3","1x - 2x","42","A",0.344146304111889,0.200257783903976,Inf,1.71851649110882,0.19820437804155,""
"4","0.5x - 1x","217","A",-0.0660131743264797,0.144221308376075,Inf,-0.457721366348598,0.890958639844719,""
"5","0.5x - 2x","217","A",0.152920959394268,0.164890647966057,Inf,0.92740832351964,0.622919675871571,""
"6","1x - 2x","217","A",0.218934133720748,0.176156845568422,Inf,1.24283636559392,0.427894002793839,""
"7","0.5x - 1x","42","B",0.365319769149417,0.168384227976741,Inf,2.16956049589085,0.0764713675912794,""
"8","0.5x - 2x","42","B",0.487949170329977,0.192262977229843,Inf,2.53792580017448,0.0299924249838512,"*"
"9","1x - 2x","42","B",0.12262940118056,0.206316163576002,Inf,0.594376121846537,0.82313889215131,""
"10","0.5x - 1x","217","B",0.103931661473566,0.144903950311081,Inf,0.717245190696629,0.7532789865659,""
"11","0.5x - 2x","217","B",0.148564374280274,0.165339896071621,Inf,0.89853917783957,0.641224266989907,""
"12","1x - 2x","217","B",0.0446327128067083,0.17697260574181,Inf,0.252201252389446,0.965544754571078,""
"13","0.5x - 1x","42","C",-0.123468676431529,0.170288960404465,Inf,-0.725053909180434,0.748626227367532,""
"14","0.5x - 2x","42","C",0.280878100265518,0.188942072633979,Inf,1.4865831434465,0.297343861584877,""
"15","1x - 2x","42","C",0.404346776697047,0.203317341084711,Inf,1.98874712083008,0.114949696348991,""
"16","0.5x - 1x","217","C",0.207428777458225,0.146684019884091,Inf,1.41411980406682,0.333547690049963,""
"17","0.5x - 2x","217","C",0.15436095037656,0.167660832263178,Inf,0.920673888426476,0.627193393107178,""
"18","1x - 2x","217","C",-0.0530678270816657,0.178226303242177,Inf,-0.297755303882145,0.952304263471555,""
"19","0.5x - 1x","42","D",-0.0143395671315376,0.172150753797656,Inf,-0.0832965689385954,0.996182067575573,""
"20","0.5x - 2x","42","D",0.564948283917968,0.196305990578006,Inf,2.87789629982522,0.0111660232148789,"*"
"21","1x - 2x","42","D",0.579287851049506,0.206868859278852,Inf,2.80026608678034,0.0141386912152967,"*"
"22","0.5x - 1x","217","D",0.101361333569642,0.143858044422413,Inf,0.704592739158979,0.760771409698952,""
"23","0.5x - 2x","217","D",0.00952944150028578,0.164549522204469,Inf,0.0579123012490096,0.998152655604959,""
"24","1x - 2x","217","D",-0.0918318920693566,0.177243419680759,Inf,-0.518111714583024,0.862504502663022,""
