"","contrast","PaternalStock","vial_letter","estimate","SE","df","z.ratio","p.value"
"1","0.5x - 1x","42","A",0.0124533396161477,0.151494020142424,Inf,0.0822035061478991,0.996281425353105
"2","0.5x - 2x","42","A",0.311064010073962,0.170915552386897,Inf,1.81998657073532,0.163009230938414
"3","1x - 2x","42","A",0.298610670457815,0.183183110780475,Inf,1.63012118958755,0.232912499398083
"4","0.5x - 1x","217","A",-0.0252543239180646,0.123463426087275,Inf,-0.204549028958685,0.977198249810768
"5","0.5x - 2x","217","A",0.101960990464458,0.138526021698405,Inf,0.736042147275725,0.742043661755409
"6","1x - 2x","217","A",0.127215314382522,0.145796506444835,Inf,0.872553927968477,0.657647981129998
"7","0.5x - 1x","42","B",0.309620141999608,0.15216687484928,Inf,2.03474075620127,0.10396747138567
"8","0.5x - 2x","42","B",0.54512489604763,0.177421081573363,Inf,3.07249223831511,0.00601510697700591
"9","1x - 2x","42","B",0.235504754048022,0.191526390777765,Inf,1.22962038334073,0.435623215465411
"10","0.5x - 1x","217","B",0.09835950093162,0.125012641733152,Inf,0.786796435688284,0.711161074705032
"11","0.5x - 2x","217","B",0.146114836325607,0.140126720427328,Inf,1.0427335762945,0.549856754932991
"12","1x - 2x","217","B",0.0477553353939868,0.147955216578917,Inf,0.322768851941864,0.944193016599444
"13","0.5x - 1x","42","C",-0.145183354576956,0.159094628114163,Inf,-0.912559753260651,0.632340076299355
"14","0.5x - 2x","42","C",0.217813693118957,0.176815546559032,Inf,1.23186958023647,0.434303806746687
"15","1x - 2x","42","C",0.362997047695913,0.189744745915175,Inf,1.91308089162157,0.134941219919596
"16","0.5x - 1x","217","C",0.208425942242486,0.128029080464356,Inf,1.62795781619718,0.23380968448
"17","0.5x - 2x","217","C",0.146549507458037,0.143919667522762,Inf,1.01827297116886,0.565284937161908
"18","1x - 2x","217","C",-0.0618764347844491,0.150576416167927,Inf,-0.410930452186103,0.911133037351855
"19","0.5x - 1x","42","D",-0.0700895291113363,0.161929934442455,Inf,-0.432838618459664,0.901901231252226
"20","0.5x - 2x","42","D",0.486968756874672,0.191742186330252,Inf,2.53970587378163,0.0298468831557271
"21","1x - 2x","42","D",0.557058285986008,0.198468113088862,Inf,2.80678985312161,0.0138642792022076
"22","0.5x - 1x","217","D",0.0406443240266641,0.123402444534515,Inf,0.329364010413069,0.941957780263798
"23","0.5x - 2x","217","D",-0.0522598270864398,0.138423509079365,Inf,-0.377535777224638,0.924447444195178
"24","1x - 2x","217","D",-0.0929041511131039,0.148009657282206,Inf,-0.627689792808359,0.804897324615424
