"MaternalVial","vial_letter","PaternalStock","Treatment","co_inds.sum","ycv_count.sum","cvv_count.sum","vf_count.sum","num_M.sum","ycv_rr","cvv_rr","vf_rr","recomb_rate","ycv_rr_kosambi","cvv_rr_kosambi","vf_rr_kosambi","recomb_rate_kosambi"
"1","A","217","2x",159,23,43,93,459,0.0501089324618736,0.093681917211329,0.202614379084967,0.34640522875817,5.02777090785818,9.48018437548571,21.4944630402703,36.0024183236142
"1","B","217","2x",180,21,72,87,437,0.0480549199084668,0.164759725400458,0.19908466819222,0.411899313501144,4.82037081274483,17.1144536958711,21.0735731748458,43.0083976834617
"1","C","217","2x",60,10,14,36,117,0.0854700854700855,0.11965811965812,0.307692307692308,0.512820512820513,8.63174868311855,12.2024343172109,35.8771131322331,56.7112961325625
"1","D","217","2x",91,11,36,44,213,0.0516431924882629,0.169014084507042,0.206572769953052,0.427230046948357,5.18280215243823,17.5932322472621,21.9699131861644,44.7459475858646
"2","A","42","2x",52,5,23,24,106,0.0471698113207547,0.216981132075472,0.226415094339623,0.490566037735849,4.73104999096321,23.2383989656044,24.4127397966802,52.3821887532479
"2","B","42","2x",113,24,44,45,173,0.138728323699422,0.254335260115607,0.260115606936416,0.653179190751445,14.2462241053863,28.0467287708094,28.8328356095292,71.1257884857249
"2","C","42","2x",45,8,14,23,85,0.0941176470588235,0.164705882352941,0.270588235294118,0.529411764705882,9.5253503061,17.1084137719448,30.2908919267876,56.9246560048324
"2","D","42","2x",44,7,19,18,105,0.0666666666666667,0.180952380952381,0.171428571428571,0.419047619047619,6.70659966486698,18.9538002717235,17.8663346445227,43.5267345811132
"3","A","42","1x",61,7,26,28,119,0.0588235294117647,0.218487394957983,0.235294117647059,0.512605042016807,5.90971945160576,23.4242734277923,25.5412811882995,54.8752740676976
"3","B","42","1x",30,4,15,11,65,0.0615384615384615,0.230769230769231,0.169230769230769,0.461538461538462,6.18520433284602,24.9632207527782,17.6177000740255,48.7661251596497
"3","C","42","1x",37,10,9,18,69,0.144927536231884,0.130434782608696,0.260869565217391,0.536231884057971,14.9204017905378,13.3520621482565,28.9363197172761,57.2087836560704
"3","D","42","1x",35,4,16,15,63,0.0634920634920635,0.253968253968254,0.238095238095238,0.555555555555556,6.38366729522111,27.9972421778849,25.9022982921694,60.2832077652754
